,price,Position,combinedForecast,Profit&Loss,Profit&Loss
2013-11-08,574.5,-0.0,-18.172801568426355,-0.011619605239502562,3989.939272980839
2013-11-11,583.0,-0.0,-17.23908873862921,-0.011623448042428208,3989.9276495327967
2013-11-12,580.5,-0.0,-17.10386603591288,-0.01162716306407674,3989.9160223697327
2013-11-13,578.5,-0.0,-16.924045252422644,-0.011630753007921157,3989.9043916167248
2013-11-14,574.25,-0.0,-16.842655794839178,-0.011634220526502759,3989.8927573961982
2013-11-15,570.25,-0.0,-16.952778024319645,-0.011637568221885886,3989.8811198279764
2013-11-18,560.25,-0.0,-17.26204396252433,-0.011640798645203176,3989.869479029331
2013-11-19,566.75,-0.0,-16.96086158008568,-0.011643914300293545,3989.857835115031
2013-11-20,565.0,-0.0,-17.428703878857153,-0.011646917641883192,3989.846188197389
2013-11-21,570.5,-0.0,-17.055109011560262,-0.011649811077404593,3989.8345383863116
2013-11-22,570.5,-0.0,-17.17403794914016,-0.011652596969270235,3989.8228857893423
2013-11-25,573.0,-0.0,-16.934424817031257,-0.011655277633508376,3989.811230511709
2013-11-26,566.75,-0.0,-16.899231770906965,-0.01165785534249153,3989.7995726563663
2013-11-27,565.5,-0.0,-16.987293727851107,-0.011660332324481715,3989.787912324042
2013-11-28,,-0.0,-16.996137212809696,-0.0116627107649947,3989.776249613277
2013-11-29,563.5,-0.0,-17.12881521546646,-0.011664992807254748,3989.7645846204696
2013-12-02,564.75,-0.0,-17.16334335377801,-0.01166718055446836,3989.752917439915
2013-12-03,570.0,-0.0,-16.827436115845195,-0.011669276068005274,3989.741248163847
2013-12-04,574.25,-0.0,-16.207687929395554,-0.01167128137058171,3989.7295768824765
2013-12-05,572.5,-0.0,-15.741267884272792,-0.011673198444441368,3989.717903684032
2013-12-06,573.75,-0.0,-15.235490431531378,-0.011675029235902912,3989.706228654796
2013-12-09,577.25,-0.0,-14.580218642815288,-0.01167677565217673,3989.694551879144
2013-12-10,575.0,-0.0,-14.109902626917675,-0.011678439563638676,3989.6828734395804
2013-12-11,577.25,-0.0,-13.579301386244852,-0.011680022805194312,3989.671193416775
2013-12-12,571.5,-0.0,-13.39889327764068,-0.011681527176278905,3989.659511889599
2013-12-13,562.5,-0.0,-13.704432553670092,-0.011682954441312177,3989.6478289351576
2013-12-16,560.25,-0.0,-14.056460159633092,-0.011684306330607797,3989.636144628827
2013-12-17,564.25,-0.0,-14.13046505171445,-0.011685584541282878,3989.6244590442857
2013-12-18,563.75,-0.0,-14.198690396654927,-0.011686790736803232,3989.612772253549
2013-12-19,567.75,-0.0,-14.01332381640736,-0.011687926550166594,3989.6010843269987
2013-12-20,570.75,-0.0,-13.641875501992745,-0.01168899358026465,3989.5893953334185
2013-12-23,571.0,-0.0,-13.278478178726475,-0.011689993396885257,3989.5777053400216
2013-12-24,571.25,-0.0,-12.93765574900768,-0.011690927538893447,3989.5660144124827
2013-12-25,,-0.0,-12.942091438931877,-0.011691797515140934,3989.5543226149675
2013-12-26,564.5,-0.0,-13.020079724827838,-0.0116926048044661,3989.542630010163
2013-12-27,565.25,-0.0,-13.033519913418635,-0.011693350857512996,3989.5309366593056
2013-12-30,561.0,-0.0,-13.292726163701483,-0.01169403709764083,3989.519242622208
2013-12-31,560.25,-0.0,-13.574348526651423,-0.01169466491910498,3989.507547957289
2014-01-01,,-0.0,-13.620347378817687,-0.011695235688875982,3989.4958527216
2014-01-02,558.25,-0.0,-13.997821034038463,-0.011695750748458522,3989.4841569708515
2014-01-03,562.0,-0.0,-13.94838091566907,-0.011696211412072444,3989.4724607594394
2014-01-06,565.25,-0.0,-13.759271252290462,-0.011696618968926487,3989.4607641404705
2014-01-07,563.25,-0.0,-13.644697895532813,-0.011696974682308792,3989.449067165788
2014-01-08,556.0,-0.0,-13.948303184356414,-0.011697279791860637,3989.4373698859963
2014-01-09,551.25,-0.0,-14.514046901430667,-0.011697535511757451,3989.4256723504845
2014-01-10,568.25,-0.0,-11.420895620540767,-0.011697743032527796,3989.413974607452
2014-01-13,568.5,-0.0,-11.284361463461996,-0.011697903521962871,3989.40227670393
2014-01-14,566.0,-0.0,-11.213987229616894,-0.011698018124661758,3989.3905786858054
2014-01-15,561.25,-0.0,-11.220294305028988,-0.011698087962031423,3989.3788805978434
2014-01-16,562.25,-0.0,-11.29673250226298,-0.011698114134560456,3989.367182483709
2014-01-17,559.0,-0.0,-11.459677188624003,-0.011698097720000078,3989.355484385989
